縣市,年度,服務類別,服務子類別,CMS 等級,性別,人數
新北市,2022,照顧服務,人次總計,第2級,計,6228
新北市,2022,照顧服務,人次總計,第2級,男,2189
新北市,2022,照顧服務,人次總計,第2級,女,4039
新北市,2022,照顧服務,人次總計,第3級,計,6448
新北市,2022,照顧服務,人次總計,第3級,男,2485
新北市,2022,照顧服務,人次總計,第3級,女,3963
新北市,2022,照顧服務,人次總計,第4級,計,7512
新北市,2022,照顧服務,人次總計,第4級,男,3182
新北市,2022,照顧服務,人次總計,第4級,女,4330
新北市,2022,照顧服務,人次總計,第5級,計,5616
新北市,2022,照顧服務,人次總計,第5級,男,2704
新北市,2022,照顧服務,人次總計,第5級,女,2912
新北市,2022,照顧服務,人次總計,第6級,計,4137
新北市,2022,照顧服務,人次總計,第6級,男,1914
新北市,2022,照顧服務,人次總計,第6級,女,2223
新北市,2022,照顧服務,人次總計,第7級,計,3475
新北市,2022,照顧服務,人次總計,第7級,男,1585
新北市,2022,照顧服務,人次總計,第7級,女,1890
新北市,2022,照顧服務,人次總計,第8級,計,3791
新北市,2022,照顧服務,人次總計,第8級,男,1870
新北市,2022,照顧服務,人次總計,第8級,女,1921
新北市,2022,照顧服務,居家服務,合計,計,35351
新北市,2022,照顧服務,居家服務,合計,男,15309
新北市,2022,照顧服務,居家服務,合計,女,20042
新北市,2022,照顧服務,居家服務,第2級,計,5877
新北市,2022,照顧服務,居家服務,第2級,男,2092
新北市,2022,照顧服務,居家服務,第2級,女,3785
新北市,2022,照顧服務,居家服務,第3級,計,6109
新北市,2022,照顧服務,居家服務,第3級,男,2386
新北市,2022,照顧服務,居家服務,第3級,女,3723
新北市,2022,照顧服務,居家服務,第4級,計,7027
新北市,2022,照顧服務,居家服務,第4級,男,3019
新北市,2022,照顧服務,居家服務,第4級,女,4008
新北市,2022,照顧服務,居家服務,第5級,計,5286
新北市,2022,照顧服務,居家服務,第5級,男,2563
新北市,2022,照顧服務,居家服務,第5級,女,2723
新北市,2022,照顧服務,居家服務,第6級,計,3840
新北市,2022,照顧服務,居家服務,第6級,男,1812
新北市,2022,照顧服務,居家服務,第6級,女,2028
新北市,2022,照顧服務,居家服務,第7級,計,3437
新北市,2022,照顧服務,居家服務,第7級,男,1572
新北市,2022,照顧服務,居家服務,第7級,女,1865
新北市,2022,照顧服務,居家服務,第8級,計,3775
新北市,2022,照顧服務,居家服務,第8級,男,1865
新北市,2022,照顧服務,居家服務,第8級,女,1910
新北市,2022,照顧服務,日間照顧服務,合計,計,2904
新北市,2022,照顧服務,日間照顧服務,合計,男,984
新北市,2022,照顧服務,日間照顧服務,合計,女,1920
新北市,2022,照顧服務,日間照顧服務,第2級,計,486
新北市,2022,照顧服務,日間照顧服務,第2級,男,133
新北市,2022,照顧服務,日間照顧服務,第2級,女,353
新北市,2022,照顧服務,日間照顧服務,第3級,計,553
新北市,2022,照顧服務,日間照顧服務,第3級,男,162
新北市,2022,照顧服務,日間照顧服務,第3級,女,391
新北市,2022,照顧服務,日間照顧服務,第4級,計,735
新北市,2022,照顧服務,日間照顧服務,第4級,男,248
新北市,2022,照顧服務,日間照顧服務,第4級,女,487
新北市,2022,照顧服務,日間照顧服務,第5級,計,502
新北市,2022,照顧服務,日間照顧服務,第5級,男,214
新北市,2022,照顧服務,日間照顧服務,第5級,女,288
新北市,2022,照顧服務,日間照顧服務,第6級,計,506
新北市,2022,照顧服務,日間照顧服務,第6級,男,182
新北市,2022,照顧服務,日間照顧服務,第6級,女,324
新北市,2022,照顧服務,日間照顧服務,第7級,計,81
新北市,2022,照顧服務,日間照顧服務,第7級,男,30
新北市,2022,照顧服務,日間照顧服務,第7級,女,51
新北市,2022,照顧服務,日間照顧服務,第8級,計,41
新北市,2022,照顧服務,日間照顧服務,第8級,男,15
新北市,2022,照顧服務,日間照顧服務,第8級,女,26
新北市,2022,照顧服務,家庭托顧,合計,計,46
