年度,服務類別,服務子類別,CMS 等級,性別,人數
2021,營養餐飲服務,,第8級,男,14
2021,營養餐飲服務,,第8級,女,9
2022,營養餐飲服務,,第2級,男,149
2022,營養餐飲服務,,第2級,女,99
2022,營養餐飲服務,,第3級,男,100
2022,營養餐飲服務,,第3級,女,59
2022,營養餐飲服務,,第4級,男,87
2022,營養餐飲服務,,第4級,女,86
2022,營養餐飲服務,,第5級,男,50
2022,營養餐飲服務,,第5級,女,45
2022,營養餐飲服務,,第6級,男,26
2022,營養餐飲服務,,第6級,女,34
2022,營養餐飲服務,,第7級,男,25
2022,營養餐飲服務,,第7級,女,21
2022,營養餐飲服務,,第8級,男,20
2022,營養餐飲服務,,第8級,女,13
2023,營養餐飲服務,,第2級,男,136
2023,營養餐飲服務,,第2級,女,81
2023,營養餐飲服務,,第3級,男,78
2023,營養餐飲服務,,第3級,女,58
2023,營養餐飲服務,,第4級,男,91
2023,營養餐飲服務,,第4級,女,73
2023,營養餐飲服務,,第5級,男,43
2023,營養餐飲服務,,第5級,女,35
2023,營養餐飲服務,,第6級,男,26
2023,營養餐飲服務,,第6級,女,23
2023,營養餐飲服務,,第7級,男,15
2023,營養餐飲服務,,第7級,女,15
2023,營養餐飲服務,,第8級,男,18
2023,營養餐飲服務,,第8級,女,13
2024,營養餐飲服務,,第2級,男,100
2024,營養餐飲服務,,第2級,女,67
2024,營養餐飲服務,,第3級,男,71
2024,營養餐飲服務,,第3級,女,39
2024,營養餐飲服務,,第4級,男,73
2024,營養餐飲服務,,第4級,女,52
2024,營養餐飲服務,,第5級,男,35
2024,營養餐飲服務,,第5級,女,26
2024,營養餐飲服務,,第6級,男,21
2024,營養餐飲服務,,第6級,女,16
2024,營養餐飲服務,,第7級,男,17
2024,營養餐飲服務,,第7級,女,15
2024,營養餐飲服務,,第8級,男,11
2024,營養餐飲服務,,第8級,女,18
2021,交通接送服務,,第2級,男,130
2021,交通接送服務,,第2級,女,193
2021,交通接送服務,,第3級,男,200
2021,交通接送服務,,第3級,女,278
2021,交通接送服務,,第4級,男,2934
2021,交通接送服務,,第4級,女,3556
2021,交通接送服務,,第5級,男,2718
2021,交通接送服務,,第5級,女,2750
2021,交通接送服務,,第6級,男,1883
2021,交通接送服務,,第6級,女,2084
2021,交通接送服務,,第7級,男,1811
2021,交通接送服務,,第7級,女,2157
2021,交通接送服務,,第8級,男,2194
2021,交通接送服務,,第8級,女,2468
