年度,服務類別,服務子類別,CMS 等級,性別,人數
2021,交通接送服務,,第4級,女,2529
2021,交通接送服務,,第5級,男,1554
2021,交通接送服務,,第5級,女,1801
2021,交通接送服務,,第6級,男,1061
2021,交通接送服務,,第6級,女,1437
2021,交通接送服務,,第7級,男,1554
2021,交通接送服務,,第7級,女,2032
2021,交通接送服務,,第8級,男,1839
2021,交通接送服務,,第8級,女,2416
2022,交通接送服務,,第2級,男,803
2022,交通接送服務,,第2級,女,1737
2022,交通接送服務,,第3級,男,1377
2022,交通接送服務,,第3級,女,2212
2022,交通接送服務,,第4級,男,2295
2022,交通接送服務,,第4級,女,3478
2022,交通接送服務,,第5級,男,1917
2022,交通接送服務,,第5級,女,2241
2022,交通接送服務,,第6級,男,1347
2022,交通接送服務,,第6級,女,1697
2022,交通接送服務,,第7級,男,1792
2022,交通接送服務,,第7級,女,2492
2022,交通接送服務,,第8級,男,2139
2022,交通接送服務,,第8級,女,2888
2023,交通接送服務,,第2級,男,1276
2023,交通接送服務,,第2級,女,2529
2023,交通接送服務,,第3級,男,1937
2023,交通接送服務,,第3級,女,3345
2023,交通接送服務,,第4級,男,3159
2023,交通接送服務,,第4級,女,4880
2023,交通接送服務,,第5級,男,2488
2023,交通接送服務,,第5級,女,3064
2023,交通接送服務,,第6級,男,1711
2023,交通接送服務,,第6級,女,2277
2023,交通接送服務,,第7級,男,2214
2023,交通接送服務,,第7級,女,2996
2023,交通接送服務,,第8級,男,2523
2023,交通接送服務,,第8級,女,3601
2024,交通接送服務,,第2級,男,1436
2024,交通接送服務,,第2級,女,2942
2024,交通接送服務,,第3級,男,2259
2024,交通接送服務,,第3級,女,3858
2024,交通接送服務,,第4級,男,3348
2024,交通接送服務,,第4級,女,5360
2024,交通接送服務,,第5級,男,2690
2024,交通接送服務,,第5級,女,3274
2024,交通接送服務,,第6級,男,1693
2024,交通接送服務,,第6級,女,2384
2024,交通接送服務,,第7級,男,2201
2024,交通接送服務,,第7級,女,3131
2024,交通接送服務,,第8級,男,2662
2024,交通接送服務,,第8級,女,3622
