機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
傳家寶國際青銀教育有限公司私立傳家寶居家長照機構,1V0100034,1,臺北市,中山區,臺北市中山區中吉里松江路124巷23號5樓,121.5164108276,25.0627498627,B,居家服務;喘息服務
優活健康顧問有限公司附設臺北市私立優活居家長照機構,1R0100045,1,臺北市,文山區,臺北市文山區景福街133巷30號1樓,121.5733566284,24.9896755219,B,喘息服務;居家服務
優福國際股份有限公司附設臺北市私立優福居家長照機構,1R0100049,1,臺北市,大同區,臺北市大同區延平北路三段4號5樓(521室),121.5115737915,25.0637702942,B,居家服務;喘息服務
元愷有限公司附設臺北市私立安愷居家長照機構,1V0100012,1,臺北市,中山區,臺北市中山區正得里長安東路1段21號3樓,121.5266723633,25.0648136139,B,居家服務;喘息服務
光明診所,B20100108,B2,臺北市,北投區,臺北市北投區石牌路二段99巷55號1樓,121.5168075562,25.1183280945,B,居家失能個案家庭醫師照護服務
內湖區寶湖里辦公處,BF0100207,BF,臺北市,內湖區,臺北市內湖區寶湖里民權東路六段208號,121.5966949463,25.0676364899,C,巷弄長照站
內湖區湖興里辦公處,BF0100206,BF,臺北市,內湖區,臺北市內湖區湖興里成功路二段320巷19號3樓,121.5899505615,25.0677337646,C,巷弄長照站
全佳居家護理所,B10100075,B1,臺北市,北投區,臺北市北投區中和街40號6樓之45室,121.5027008057,25.1382045746,B,居家失能個案家庭醫師照護服務
全福物理治療所,B40100024,B4,臺北市,大安區,臺北市大安區忠孝東路三段10巷3號7樓,121.5335769653,25.0412921906,B,專業照護服務
凱安居家有限公司附設臺北市私立凱安居家長照機構,1R0100070,1,臺北市,大安區,臺北市大安區光武里敦化南路一段192號3樓之3,121.548500061,25.0425453186,B,喘息服務;居家服務
凱琳居家護理所,B10100076,B1,臺北市,中山區,臺北市中山區敬業二路69巷57號7樓之1,121.5531158447,25.0821208954,B,專業照護服務;居家失能個案家庭醫師照護服務
凱風長照股份有限公司附設臺北市私立凱風大直社區長照機構,2N0100002,2,臺北市,中山區,臺北市中山區樂群三路56號5樓之2,121.5528335571,25.0824737549,B,喘息服務;日間照顧服務
凱風長照股份有限公司附設臺北市私立凱風新生北綜合長照機構,4R0100001,4,臺北市,中山區,臺北市中山區晴光里新生北路三段56巷17號1樓,121.5269241333,25.0657196045,A,個案管理服務
凱風長照股份有限公司附設臺北市私立凱風新生北綜合長照機構,4R0100001,4,臺北市,中山區,臺北市中山區晴光里新生北路三段56巷17號1樓,121.5269241333,25.0657196045,B,喘息服務;居家服務;日間照顧服務
凱風長照股份有限公司附設臺北市私立凱風民權社區長照機構,2R0100013,2,臺北市,中山區,臺北市中山區民權東路三段21號2樓之1及之2,121.5416946411,25.0625572205,B,日間照顧服務;喘息服務
前瞻居家護理所,B10100074,B1,臺北市,文山區,臺北市文山區辛亥路四段21巷10號9樓A室,1.0,1.0,B,專業照護服務
力麗長青長照社團法人附設台北市私立樂活社區長照機構,2R0100008,2,臺北市,萬華區,臺北市萬華區環河南路2段278號1樓,121.4911727905,25.0323638916,B,日間照顧服務
力麗長青長照社團法人附設台北市私立長青居家長照機構,1J0100002,1,臺北市,萬華區,臺北市萬華區雙園里臺北市萬華區環河南路二段278之1號1樓,121.4979705811,25.0322799683,B,居家服務
勁緻物理治療所,B40100010,B4,臺北市,中山區,臺北市中山區安民樂群三路71號,121.5535583496,25.0828037262,B,專業照護服務
包子居家護理所,B10100016,B1,臺北市,中山區,臺北市中山區通明新生北路三段82巷23號,121.5268096924,25.0671539307,B,專業照護服務
北醫大管理顧問股份有限公司附設私立君蔚居家長照機構,1R0100036,1,臺北市,信義區,臺北市信義區中興里信義路4段375號4樓之7,121.5577316284,25.0332832336,A,個案管理服務
北醫大管理顧問股份有限公司附設私立君蔚居家長照機構,1R0100036,1,臺北市,信義區,臺北市信義區中興里信義路4段375號4樓之7,121.5577316284,25.0332832336,B,喘息服務;居家服務
北醫大管理顧問股份有限公司附設私立杏芳居家長照機構,1R0100023,1,臺北市,文山區,臺北市文山區景後街190號2樓之1,121.5692672729,25.0022506714,A,個案管理服務
北醫大管理顧問股份有限公司附設私立杏芳居家長照機構,1R0100023,1,臺北市,文山區,臺北市文山區景後街190號2樓之1,121.5692672729,25.0022506714,B,居家服務;喘息服務
博仁綜合醫院附設居家護理所,B10100005,B1,臺北市,松山區,臺北市松山區復勢里光復北路66號,121.5576858521,25.0499095917,B,專業照護服務
博昌復健科診所,B20100091,B2,臺北市,萬華區,臺北市萬華區萬大路221號1樓,121.5006027222,25.0267486572,B,專業照護服務
博珍服務事業股份有限公司附設臺北市私立博珍居家長照機構,1V0100038,1,臺北市,中正區,臺北市中正區黎明里忠孝西路1段45號7樓之6,121.5179367065,25.0462818146,B,居家服務
原力復健科診所,B20100039,B2,臺北市,信義區,"臺北市信義區基隆路2段145號B1,1,2樓",121.5557403564,25.0269737244,B,居家失能個案家庭醫師照護服務;專業照護服務
可馨居家護理所,B10100058,B1,臺北市,大安區,臺北市大安區忠孝東路四段162號9樓之五室,121.5502853394,25.0412845612,B,專業照護服務
台北市信義區三犁里辦公處,BF0100127,BF,臺北市,信義區,臺北市信義區三犁里信義路5段150巷14弄6號1樓,121.5694274902,25.0284118652,C,巷弄長照站
